75142,Kaufman,Texas ,KAUFMAN,48,257,TX 
75144,Kerens,Texas ,NAVARRO,48,349,TX 
75148,Malakoff,Texas ,HENDERSON,48,213,TX 
75151,Corsicana,Texas ,NAVARRO,48,349,TX 
75149,Mesquite,Texas ,DALLAS,48,113,TX 
75146,Lancaster,Texas ,DALLAS,48,113,TX 
75152,Palmer,Texas ,ELLIS,48,139,TX 
75147,Mabank,Texas ,KAUFMAN,48,257,TX 
75150,Mesquite,Texas ,DALLAS,48,113,TX 
75153,Powell,Texas ,NAVARRO,48,349,TX 
75155,Rice,Texas ,NAVARRO,48,349,TX 
75160,Terrell,Texas ,KAUFMAN,48,257,TX 
75157,Rosser,Texas ,KAUFMAN,48,257,TX 
75156,Mabank,Texas ,HENDERSON,48,213,TX 
75154,Red Oak,Texas ,ELLIS,48,139,TX 
75159,Seagoville,Texas ,DALLAS,48,113,TX 
75158,Scurry,Texas ,KAUFMAN,48,257,TX 
75161,Terrell,Texas ,KAUFMAN,48,257,TX 
75167,Waxahachie,Texas ,ELLIS,48,139,TX 
75164,Josephine,Texas ,COLLIN,48,085,TX 
75163,Trinidad,Texas ,HENDERSON,48,213,TX 
75165,Waxahachie,Texas ,ELLIS,48,139,TX 
75166,Lavon,Texas ,COLLIN,48,085,TX 
75168,Waxahachie,Texas ,ELLIS,48,139,TX 
75172,Wilmer,Texas ,DALLAS,48,113,TX 
75169,Wills Point,Texas ,VAN ZANDT,48,467,TX 
75181,Mesquite,Texas ,DALLAS,48,113,TX 
75185,Mesquite,Texas ,DALLAS,48,113,TX 
75187,Mesquite,Texas ,DALLAS,48,113,TX 
75173,Nevada,Texas ,COLLIN,48,085,TX 
75189,Royse City,Texas ,ROCKWALL,48,397,TX 
75182,Sunnyvale,Texas ,DALLAS,48,113,TX 
75180,Balch Springs,Texas ,DALLAS,48,113,TX 
75201,Dallas,Texas ,DALLAS,48,113,TX 
75202,Dallas,Texas ,DALLAS,48,113,TX 
75204,Dallas,Texas ,DALLAS,48,113,TX 
75203,Dallas,Texas ,DALLAS,48,113,TX 
75206,Dallas,Texas ,DALLAS,48,113,TX 
75205,Dallas,Texas ,DALLAS,48,113,TX 
75207,Dallas,Texas ,DALLAS,48,113,TX 
75209,Dallas,Texas ,DALLAS,48,113,TX 
75208,Dallas,Texas ,DALLAS,48,113,TX 
75210,Dallas,Texas ,DALLAS,48,113,TX 
75212,Dallas,Texas ,DALLAS,48,113,TX 
75214,Dallas,Texas ,DALLAS,48,113,TX 
75211,Dallas,Texas ,DALLAS,48,113,TX 
75215,Dallas,Texas ,DALLAS,48,113,TX 
75216,Dallas,Texas ,DALLAS,48,113,TX 
75218,Dallas,Texas ,DALLAS,48,113,TX 
75217,Dallas,Texas ,DALLAS,48,113,TX 
75219,Dallas,Texas ,DALLAS,48,113,TX 
75221,Dallas,Texas ,DALLAS,48,113,TX 
75222,Dallas,Texas ,DALLAS,48,113,TX 
75220,Dallas,Texas ,DALLAS,48,113,TX 
75223,Dallas,Texas ,DALLAS,48,113,TX 
75224,Dallas,Texas ,DALLAS,48,113,TX 
75226,Dallas,Texas ,DALLAS,48,113,TX 
75225,Dallas,Texas ,DALLAS,48,113,TX 
75227,Dallas,Texas ,DALLAS,48,113,TX 
75232,Dallas,Texas ,DALLAS,48,113,TX 
75231,Dallas,Texas ,DALLAS,48,113,TX 
75230,Dallas,Texas ,DALLAS,48,113,TX 
75229,Dallas,Texas ,DALLAS,48,113,TX 
75234,Dallas,Texas ,DALLAS,48,113,TX 
75228,Dallas,Texas ,DALLAS,48,113,TX 
75233,Dallas,Texas ,DALLAS,48,113,TX 
75235,Dallas,Texas ,DALLAS,48,113,TX 
75236,Dallas,Texas ,DALLAS,48,113,TX 
75238,Dallas,Texas ,DALLAS,48,113,TX 
75237,Dallas,Texas ,DALLAS,48,113,TX 
75242,Dallas,Texas ,DALLAS,48,113,TX 
75241,Dallas,Texas ,DALLAS,48,113,TX 
75240,Dallas,Texas ,DALLAS,48,113,TX 
75243,Dallas,Texas ,DALLAS,48,113,TX 
75244,Dallas,Texas ,DALLAS,48,113,TX 
75247,Dallas,Texas ,DALLAS,48,113,TX 
75249,Dallas,Texas ,DALLAS,48,113,TX 
75248,Dallas,Texas ,DALLAS,48,113,TX 
75246,Dallas,Texas ,DALLAS,48,113,TX 
75251,Dallas,Texas ,DALLAS,48,113,TX 
75253,Dallas,Texas ,DALLAS,48,113,TX 
75252,Dallas,Texas ,COLLIN,48,085,TX 
75250,Dallas,Texas ,DALLAS,48,113,TX 
75260,Dallas,Texas ,DALLAS,48,113,TX 
75263,Dallas,Texas ,DALLAS,48,113,TX 
75254,Dallas,Texas ,DALLAS,48,113,TX 
75264,Dallas,Texas ,DALLAS,48,113,TX 
75266,Dallas,Texas ,DALLAS,48,113,TX 
75262,Dallas,Texas ,DALLAS,48,113,TX 
75265,Dallas,Texas ,DALLAS,48,113,TX 
75261,Dallas,Texas ,DALLAS,48,113,TX 
75267,Dallas,Texas ,DALLAS,48,113,TX 
75277,Dallas,Texas ,DALLAS,48,113,TX 
75284,Dallas,Texas ,DALLAS,48,113,TX 
75275,Dallas,Texas ,DALLAS,48,113,TX 
75285,Dallas,Texas ,DALLAS,48,113,TX 
75287,Dallas,Texas ,COLLIN,48,085,TX 
75270,Dallas,Texas ,DALLAS,48,113,TX 
75283,Dallas,Texas ,DALLAS,48,113,TX 
75301,Dallas,Texas ,DALLAS,48,113,TX 
75303,Dallas,Texas ,DALLAS,48,113,TX 
75312,Dallas,Texas ,DALLAS,48,113,TX 
75315,Dallas,Texas ,DALLAS,48,113,TX 
75336,Dallas,Texas ,DALLAS,48,113,TX 
75313,Dallas,Texas ,DALLAS,48,113,TX 
75320,Dallas,Texas ,DALLAS,48,113,TX 
75326,Dallas,Texas ,DALLAS,48,113,TX 
75339,Dallas,Texas ,DALLAS,48,113,TX 
75342,Dallas,Texas ,DALLAS,48,113,TX 
75354,Dallas,Texas ,DALLAS,48,113,TX 
75357,Dallas,Texas ,DALLAS,48,113,TX 
75359,Dallas,Texas ,DALLAS,48,113,TX 
75355,Dallas,Texas ,DALLAS,48,113,TX 
75356,Dallas,Texas ,DALLAS,48,113,TX 
75358,Dallas,Texas ,DALLAS,48,113,TX 
75360,Dallas,Texas ,DALLAS,48,113,TX 
75367,Dallas,Texas ,DALLAS,48,113,TX 
75372,Dallas,Texas ,DALLAS,48,113,TX 
75371,Dallas,Texas ,DALLAS,48,113,TX 
75368,Dallas,Texas ,DALLAS,48,113,TX 
75374,Dallas,Texas ,DALLAS,48,113,TX 
75370,Dallas,Texas ,DALLAS,48,113,TX 
75373,Dallas,Texas ,DALLAS,48,113,TX 
75376,Dallas,Texas ,DALLAS,48,113,TX 
75378,Dallas,Texas ,DALLAS,48,113,TX 
75379,Dallas,Texas ,DALLAS,48,113,TX 
75380,Dallas,Texas ,DALLAS,48,113,TX 
75382,Dallas,Texas ,DALLAS,48,113,TX 
75391,Dallas,Texas ,DALLAS,48,113,TX 
75381,Dallas,Texas ,DALLAS,48,113,TX 
75390,Dallas,Texas ,DALLAS,48,113,TX 
75389,Dallas,Texas ,DALLAS,48,113,TX 
75392,Dallas,Texas ,DALLAS,48,113,TX 
75393,Dallas,Texas ,DALLAS,48,113,TX 
75394,Dallas,Texas ,DALLAS,48,113,TX 
75398,Dallas,Texas ,DALLAS,48,113,TX 
75397,Dallas,Texas ,DALLAS,48,113,TX 
75402,Greenville,Texas ,HUNT,48,231,TX 
75395,Dallas,Texas ,DALLAS,48,113,TX 
75401,Greenville,Texas ,HUNT,48,231,TX 
75403,Greenville,Texas ,HUNT,48,231,TX 
75404,Greenville,Texas ,HUNT,48,231,TX 
75407,Princeton,Texas ,COLLIN,48,085,TX 
75410,Alba,Texas ,WOOD,48,499,TX 
75413,Bailey,Texas ,FANNIN,48,147,TX 
75411,Arthur City,Texas ,LAMAR,48,277,TX 
75412,Bagwell,Texas ,RED RIVER,48,387,TX 
75409,Anna,Texas ,COLLIN,48,085,TX 
75414,Bells,Texas ,GRAYSON,48,181,TX 
75415,Ben Franklin,Texas ,DELTA,48,119,TX 
75416,Blossom,Texas ,LAMAR,48,277,TX 
75421,Brookston,Texas ,LAMAR,48,277,TX 
75418,Bonham,Texas ,FANNIN,48,147,TX 
75424,Blue Ridge,Texas ,COLLIN,48,085,TX 
75417,Bogata,Texas ,RED RIVER,48,387,TX 
75423,Celeste,Texas ,HUNT,48,231,TX 
75420,Brashear,Texas ,HOPKINS,48,223,TX 
75422,Campbell,Texas ,HUNT,48,231,TX 
75425,Chicota,Texas ,LAMAR,48,277,TX 
75428,Commerce,Texas ,HUNT,48,231,TX 
75426,Clarksville,Texas ,RED RIVER,48,387,TX 
75429,Commerce,Texas ,HUNT,48,231,TX 
75434,Cunningham,Texas ,LAMAR,48,277,TX 
75435,Deport,Texas ,LAMAR,48,277,TX 
75433,Cumby,Texas ,HOPKINS,48,223,TX 
75431,Como,Texas ,HOPKINS,48,223,TX 
75432,Cooper,Texas ,DELTA,48,119,TX 
75436,Detroit,Texas ,RED RIVER,48,387,TX 
75437,Dike,Texas ,HOPKINS,48,223,TX 
75438,Dodd City,Texas ,FANNIN,48,147,TX 
75443,Gober,Texas ,FANNIN,48,147,TX 
75442,Farmersville,Texas ,COLLIN,48,085,TX 
75439,Ector,Texas ,FANNIN,48,147,TX 
75440,Emory,Texas ,RAINS,48,379,TX 
75441,Enloe,Texas ,DELTA,48,119,TX 
75446,Honey Grove,Texas ,FANNIN,48,147,TX 
75444,Golden,Texas ,WOOD,48,499,TX 
75450,Lake Creek,Texas ,DELTA,48,119,TX 
75448,Klondike,Texas ,DELTA,48,119,TX 
75447,Ivanhoe,Texas ,FANNIN,48,147,TX 
75449,Ladonia,Texas ,FANNIN,48,147,TX 
75451,Leesburg,Texas ,CAMP,48,063,TX 
75452,Leonard,Texas ,FANNIN,48,147,TX 
75454,Melissa,Texas ,COLLIN,48,085,TX 
75453,Lone Oak,Texas ,HUNT,48,231,TX 
75456,Mount Pleasant,Texas ,TITUS,48,449,TX 
75455,Mount Pleasant,Texas ,TITUS,48,449,TX 
