57237,Gary,South Dakota ,DEUEL,46,039,SD 
57238,Goodwin,South Dakota ,DEUEL,46,039,SD 
57239,Grenville,South Dakota ,DAY,46,037,SD 
57245,Kranzburg,South Dakota ,CODINGTON,46,029,SD 
57243,Henry,South Dakota ,CODINGTON,46,029,SD 
57242,Hazel,South Dakota ,HAMLIN,46,057,SD 
57241,Hayti,South Dakota ,HAMLIN,46,057,SD 
57246,Labolt,South Dakota ,GRANT,46,051,SD 
57247,Lake City,South Dakota ,MARSHALL,46,091,SD 
57249,Lake Preston,South Dakota ,KINGSBURY,46,077,SD 
57248,Lake Norden,South Dakota ,HAMLIN,46,057,SD 
57255,New Effington,South Dakota ,ROBERTS,46,109,SD 
57256,Ortley,South Dakota ,ROBERTS,46,109,SD 
57251,Marvin,South Dakota ,GRANT,46,051,SD 
57257,Peever,South Dakota ,ROBERTS,46,109,SD 
57252,Milbank,South Dakota ,GRANT,46,051,SD 
57258,Raymond,South Dakota ,CLARK,46,025,SD 
57260,Rosholt,South Dakota ,ROBERTS,46,109,SD 
57259,Revillo,South Dakota ,GRANT,46,051,SD 
57261,Roslyn,South Dakota ,DAY,46,037,SD 
57262,Sisseton,South Dakota ,ROBERTS,46,109,SD 
57265,Strandburg,South Dakota ,GRANT,46,051,SD 
57263,South Shore,South Dakota ,CODINGTON,46,029,SD 
57264,Stockholm,South Dakota ,GRANT,46,051,SD 
57266,Summit,South Dakota ,ROBERTS,46,109,SD 
57268,Toronto,South Dakota ,DEUEL,46,039,SD 
57269,Twin Brooks,South Dakota ,GRANT,46,051,SD 
57271,Vienna,South Dakota ,CLARK,46,025,SD 
57270,Veblen,South Dakota ,MARSHALL,46,091,SD 
57278,Willow Lake,South Dakota ,CLARK,46,025,SD 
57279,Wilmot,South Dakota ,ROBERTS,46,109,SD 
57273,Waubay,South Dakota ,DAY,46,037,SD 
57274,Webster,South Dakota ,DAY,46,037,SD 
57276,White,South Dakota ,BROOKINGS,46,011,SD 
57272,Wallace,South Dakota ,CODINGTON,46,029,SD 
57311,Alexandria,South Dakota ,HANSON,46,061,SD 
