55127,Saint Paul,Minnesota ,RAMSEY,27,123,MN 
55131,Saint Paul,Minnesota ,WASHINGTON,27,163,MN 
55130,Saint Paul,Minnesota ,RAMSEY,27,123,MN 
55145,Saint Paul,Minnesota ,RAMSEY,27,123,MN 
55164,Saint Paul,Minnesota ,RAMSEY,27,123,MN 
55155,Saint Paul,Minnesota ,RAMSEY,27,123,MN 
55150,Mendota,Minnesota ,DAKOTA,27,037,MN 
55303,Anoka,Minnesota ,ANOKA,27,003,MN 
55146,Saint Paul,Minnesota ,RAMSEY,27,123,MN 
55302,Annandale,Minnesota ,WRIGHT,27,171,MN 
55301,Albertville,Minnesota ,WRIGHT,27,171,MN 
55304,Andover,Minnesota ,ANOKA,27,003,MN 
55310,Bird Island,Minnesota ,RENVILLE,27,129,MN 
55307,Arlington,Minnesota ,SIBLEY,27,143,MN 
55309,Big Lake,Minnesota ,SHERBURNE,27,141,MN 
55308,Becker,Minnesota ,SHERBURNE,27,141,MN 
55306,Burnsville,Minnesota ,DAKOTA,27,037,MN 
55305,Hopkins,Minnesota ,HENNEPIN,27,053,MN 
55170,Saint Paul,Minnesota ,RAMSEY,27,123,MN 
55311,Maple Grove,Minnesota ,HENNEPIN,27,053,MN 
55313,Buffalo,Minnesota ,WRIGHT,27,171,MN 
55312,Brownton,Minnesota ,MCLEOD,27,085,MN 
55317,Chanhassen,Minnesota ,CARVER,27,019,MN 
55315,Carver,Minnesota ,CARVER,27,019,MN 
55314,Buffalo Lake,Minnesota ,RENVILLE,27,129,MN 
55318,Chaska,Minnesota ,CARVER,27,019,MN 
55319,Clear Lake,Minnesota ,SHERBURNE,27,141,MN 
55321,Cokato,Minnesota ,WRIGHT,27,171,MN 
55324,Darwin,Minnesota ,MEEKER,27,093,MN 
55316,Champlin,Minnesota ,HENNEPIN,27,053,MN 
55320,Clearwater,Minnesota ,WRIGHT,27,171,MN 
55323,Crystal Bay,Minnesota ,HENNEPIN,27,053,MN 
55322,Cologne,Minnesota ,CARVER,27,019,MN 
55325,Dassel,Minnesota ,MEEKER,27,093,MN 
55327,Dayton,Minnesota ,HENNEPIN,27,053,MN 
55328,Delano,Minnesota ,WRIGHT,27,171,MN 
55332,Fairfax,Minnesota ,RENVILLE,27,129,MN 
55334,Gaylord,Minnesota ,SIBLEY,27,143,MN 
55331,Excelsior,Minnesota ,HENNEPIN,27,053,MN 
55329,Eden Valley,Minnesota ,MEEKER,27,093,MN 
55335,Gibbon,Minnesota ,SIBLEY,27,143,MN 
55333,Franklin,Minnesota ,RENVILLE,27,129,MN 
55330,Elk River,Minnesota ,SHERBURNE,27,141,MN 
55336,Glencoe,Minnesota ,MCLEOD,27,085,MN 
55341,Hanover,Minnesota ,WRIGHT,27,171,MN 
55338,Green Isle,Minnesota ,SIBLEY,27,143,MN 
55339,Hamburg,Minnesota ,CARVER,27,019,MN 
55343,Hopkins,Minnesota ,HENNEPIN,27,053,MN 
55342,Hector,Minnesota ,RENVILLE,27,129,MN 
55337,Burnsville,Minnesota ,DAKOTA,27,037,MN 
55340,Hamel,Minnesota ,HENNEPIN,27,053,MN 
55344,Eden Prairie,Minnesota ,HENNEPIN,27,053,MN 
55347,Eden Prairie,Minnesota ,HENNEPIN,27,053,MN 
55346,Eden Prairie,Minnesota ,HENNEPIN,27,053,MN 
55352,Jordan,Minnesota ,SCOTT,27,139,MN 
55350,Hutchinson,Minnesota ,MCLEOD,27,085,MN 
55345,Minnetonka,Minnesota ,HENNEPIN,27,053,MN 
55353,Kimball,Minnesota ,STEARNS,27,145,MN 
55349,Howard Lake,Minnesota ,WRIGHT,27,171,MN 
55354,Lester Prairie,Minnesota ,MCLEOD,27,085,MN 
55355,Litchfield,Minnesota ,MEEKER,27,093,MN 
55361,Minnetonka Beach,Minnesota ,HENNEPIN,27,053,MN 
55362,Monticello,Minnesota ,WRIGHT,27,171,MN 
55359,Maple Plain,Minnesota ,HENNEPIN,27,053,MN 
55358,Maple Lake,Minnesota ,WRIGHT,27,171,MN 
55360,Mayer,Minnesota ,CARVER,27,019,MN 
55357,Loretto,Minnesota ,HENNEPIN,27,053,MN 
55356,Long Lake,Minnesota ,HENNEPIN,27,053,MN 
55366,New Auburn,Minnesota ,SIBLEY,27,143,MN 
55364,Mound,Minnesota ,HENNEPIN,27,053,MN 
55368,Norwood Young America,Minnesota ,CARVER,27,019,MN 
55371,Princeton,Minnesota ,MILLE LACS,27,095,MN 
55367,New Germany,Minnesota ,CARVER,27,019,MN 
55370,Plato,Minnesota ,MCLEOD,27,085,MN 
55369,Osseo,Minnesota ,HENNEPIN,27,053,MN 
55363,Montrose,Minnesota ,WRIGHT,27,171,MN 
55372,Prior Lake,Minnesota ,SCOTT,27,139,MN 
55374,Rogers,Minnesota ,HENNEPIN,27,053,MN 
55375,Saint Bonifacius,Minnesota ,HENNEPIN,27,053,MN 
55378,Savage,Minnesota ,SCOTT,27,139,MN 
55379,Shakopee,Minnesota ,SCOTT,27,139,MN 
55377,Santiago,Minnesota ,SHERBURNE,27,141,MN 
55376,Saint Michael,Minnesota ,WRIGHT,27,171,MN 
55373,Rockford,Minnesota ,WRIGHT,27,171,MN 
55381,Silver Lake,Minnesota ,MCLEOD,27,085,MN 
55382,South Haven,Minnesota ,WRIGHT,27,171,MN 
55388,Watertown,Minnesota ,CARVER,27,019,MN 
55389,Watkins,Minnesota ,MEEKER,27,093,MN 
55384,Spring Park,Minnesota ,HENNEPIN,27,053,MN 
55385,Stewart,Minnesota ,MCLEOD,27,085,MN 
55387,Waconia,Minnesota ,CARVER,27,019,MN 
55386,Victoria,Minnesota ,CARVER,27,019,MN 
55390,Waverly,Minnesota ,WRIGHT,27,171,MN 
55391,Wayzata,Minnesota ,HENNEPIN,27,053,MN 
55395,Winsted,Minnesota ,MCLEOD,27,085,MN 
55396,Winthrop,Minnesota ,SIBLEY,27,143,MN 
55397,Young America,Minnesota ,CARVER,27,019,MN 
55398,Zimmerman,Minnesota ,SHERBURNE,27,141,MN 
55401,Minneapolis,Minnesota ,HENNEPIN,27,053,MN 
55402,Minneapolis,Minnesota ,HENNEPIN,27,053,MN 
55403,Minneapolis,Minnesota ,HENNEPIN,27,053,MN 
55404,Minneapolis,Minnesota ,HENNEPIN,27,053,MN 
55405,Minneapolis,Minnesota ,HENNEPIN,27,053,MN 
55406,Minneapolis,Minnesota ,HENNEPIN,27,053,MN 
