50151,Lucas,Iowa ,LUCAS,19,117,IA 
50150,Lovilia,Iowa ,MONROE,19,135,IA 
50152,Luther,Iowa ,BOONE,19,015,IA 
50154,Mc Callsburg,Iowa ,STORY,19,169,IA 
50156,Madrid,Iowa ,BOONE,19,015,IA 
50153,Lynnville,Iowa ,JASPER,19,099,IA 
50157,Malcom,Iowa ,POWESHIEK,19,157,IA 
50160,Martensdale,Iowa ,WARREN,19,181,IA 
50155,Macksburg,Iowa ,MADISON,19,121,IA 
50158,Marshalltown,Iowa ,MARSHALL,19,127,IA 
50161,Maxwell,Iowa ,STORY,19,169,IA 
50162,Melbourne,Iowa ,MARSHALL,19,127,IA 
50167,Minburn,Iowa ,DALLAS,19,049,IA 
50166,Milo,Iowa ,WARREN,19,181,IA 
50165,Millerton,Iowa ,WAYNE,19,185,IA 
50164,Menlo,Iowa ,GUTHRIE,19,077,IA 
50163,Melcher Dallas,Iowa ,MARION,19,125,IA 
50168,Mingo,Iowa ,JASPER,19,099,IA 
50169,Mitchellville,Iowa ,POLK,19,153,IA 
50170,Monroe,Iowa ,JASPER,19,099,IA 
50173,Montour,Iowa ,TAMA,19,171,IA 
50201,Nevada,Iowa ,STORY,19,169,IA 
50206,New Providence,Iowa ,HARDIN,19,083,IA 
50174,Murray,Iowa ,CLARKE,19,039,IA 
50208,Newton,Iowa ,JASPER,19,099,IA 
50207,New Sharon,Iowa ,MAHASKA,19,123,IA 
50171,Montezuma,Iowa ,POWESHIEK,19,157,IA 
50211,Norwalk,Iowa ,WARREN,19,181,IA 
50214,Otley,Iowa ,MARION,19,125,IA 
50210,New Virginia,Iowa ,WARREN,19,181,IA 
50216,Panora,Iowa ,GUTHRIE,19,077,IA 
50213,Osceola,Iowa ,CLARKE,19,039,IA 
50212,Ogden,Iowa ,BOONE,19,015,IA 
50217,Paton,Iowa ,GREENE,19,073,IA 
50218,Patterson,Iowa ,MADISON,19,121,IA 
50219,Pella,Iowa ,MARION,19,125,IA 
50220,Perry,Iowa ,DALLAS,19,049,IA 
50225,Pleasantville,Iowa ,MARION,19,125,IA 
50226,Polk City,Iowa ,POLK,19,153,IA 
50223,Pilot Mound,Iowa ,BOONE,19,015,IA 
50227,Popejoy,Iowa ,FRANKLIN,19,069,IA 
50222,Peru,Iowa ,MADISON,19,121,IA 
50228,Prairie City,Iowa ,JASPER,19,099,IA 
50232,Reasnor,Iowa ,JASPER,19,099,IA 
50229,Prole,Iowa ,WARREN,19,181,IA 
50230,Radcliffe,Iowa ,HARDIN,19,083,IA 
50236,Roland,Iowa ,STORY,19,169,IA 
50234,Rhodes,Iowa ,MARSHALL,19,127,IA 
50233,Redfield,Iowa ,DALLAS,19,049,IA 
50235,Rippey,Iowa ,GREENE,19,073,IA 
50231,Randall,Iowa ,HAMILTON,19,079,IA 
50239,Saint Anthony,Iowa ,MARSHALL,19,127,IA 
50240,Saint Charles,Iowa ,MADISON,19,121,IA 
50241,Saint Marys,Iowa ,WARREN,19,181,IA 
50237,Runnells,Iowa ,POLK,19,153,IA 
50243,Sheldahl,Iowa ,POLK,19,153,IA 
50238,Russell,Iowa ,LUCAS,19,117,IA 
50244,Slater,Iowa ,STORY,19,169,IA 
50242,Searsboro,Iowa ,POWESHIEK,19,157,IA 
50247,State Center,Iowa ,MARSHALL,19,127,IA 
50246,Stanhope,Iowa ,HAMILTON,19,079,IA 
50251,Sully,Iowa ,JASPER,19,099,IA 
50248,Story City,Iowa ,STORY,19,169,IA 
50252,Swan,Iowa ,MARION,19,125,IA 
50250,Stuart,Iowa ,GUTHRIE,19,077,IA 
50254,Thayer,Iowa ,UNION,19,175,IA 
50249,Stratford,Iowa ,HAMILTON,19,079,IA 
50255,Thornburg,Iowa ,KEOKUK,19,107,IA 
50258,Union,Iowa ,HARDIN,19,083,IA 
50256,Tracy,Iowa ,MARION,19,125,IA 
50261,Van Meter,Iowa ,DALLAS,19,049,IA 
50263,Waukee,Iowa ,DALLAS,19,049,IA 
50262,Van Wert,Iowa ,DECATUR,19,053,IA 
50257,Truro,Iowa ,MADISON,19,121,IA 
50259,Gifford,Iowa ,HARDIN,19,083,IA 
50264,Weldon,Iowa ,DECATUR,19,053,IA 
50265,West Des Moines,Iowa ,POLK,19,153,IA 
50269,Whitten,Iowa ,HARDIN,19,083,IA 
50273,Winterset,Iowa ,MADISON,19,121,IA 
50266,West Des Moines,Iowa ,POLK,19,153,IA 
50268,What Cheer,Iowa ,KEOKUK,19,107,IA 
50272,Williamson,Iowa ,LUCAS,19,117,IA 
50271,Williams,Iowa ,HAMILTON,19,079,IA 
50274,Wiota,Iowa ,CASS,19,029,IA 
50301,Des Moines,Iowa ,POLK,19,153,IA 
50275,Woodburn,Iowa ,CLARKE,19,039,IA 
50276,Woodward,Iowa ,DALLAS,19,049,IA 
50278,Zearing,Iowa ,STORY,19,169,IA 
50302,Des Moines,Iowa ,POLK,19,153,IA 
50303,Des Moines,Iowa ,POLK,19,153,IA 
50277,Yale,Iowa ,GUTHRIE,19,077,IA 
50306,Des Moines,Iowa ,POLK,19,153,IA 
50309,Des Moines,Iowa ,POLK,19,153,IA 
50305,Des Moines,Iowa ,POLK,19,153,IA 
50307,Des Moines,Iowa ,POLK,19,153,IA 
50308,Des Moines,Iowa ,POLK,19,153,IA 
50310,Des Moines,Iowa ,POLK,19,153,IA 
50304,Des Moines,Iowa ,POLK,19,153,IA 
50311,Des Moines,Iowa ,POLK,19,153,IA 
50315,Des Moines,Iowa ,POLK,19,153,IA 
50314,Des Moines,Iowa ,POLK,19,153,IA 
50316,Des Moines,Iowa ,POLK,19,153,IA 
50317,Des Moines,Iowa ,POLK,19,153,IA 
50319,Des Moines,Iowa ,POLK,19,153,IA 
50313,Des Moines,Iowa ,POLK,19,153,IA 
50318,Des Moines,Iowa ,POLK,19,153,IA 
