73110,Oklahoma City,Oklahoma ,OKLAHOMA,40,109,OK 
73116,Oklahoma City,Oklahoma ,OKLAHOMA,40,109,OK 
73114,Oklahoma City,Oklahoma ,OKLAHOMA,40,109,OK 
73113,Oklahoma City,Oklahoma ,OKLAHOMA,40,109,OK 
73112,Oklahoma City,Oklahoma ,OKLAHOMA,40,109,OK 
73118,Oklahoma City,Oklahoma ,OKLAHOMA,40,109,OK 
73123,Oklahoma City,Oklahoma ,OKLAHOMA,40,109,OK 
73125,Oklahoma City,Oklahoma ,OKLAHOMA,40,109,OK 
73119,Oklahoma City,Oklahoma ,OKLAHOMA,40,109,OK 
73124,Oklahoma City,Oklahoma ,OKLAHOMA,40,109,OK 
73122,Oklahoma City,Oklahoma ,OKLAHOMA,40,109,OK 
73120,Oklahoma City,Oklahoma ,OKLAHOMA,40,109,OK 
73121,Oklahoma City,Oklahoma ,OKLAHOMA,40,109,OK 
73126,Oklahoma City,Oklahoma ,OKLAHOMA,40,109,OK 
73129,Oklahoma City,Oklahoma ,OKLAHOMA,40,109,OK 
73132,Oklahoma City,Oklahoma ,OKLAHOMA,40,109,OK 
73131,Oklahoma City,Oklahoma ,OKLAHOMA,40,109,OK 
73134,Oklahoma City,Oklahoma ,OKLAHOMA,40,109,OK 
73128,Oklahoma City,Oklahoma ,OKLAHOMA,40,109,OK 
73127,Oklahoma City,Oklahoma ,OKLAHOMA,40,109,OK 
73130,Oklahoma City,Oklahoma ,OKLAHOMA,40,109,OK 
73135,Oklahoma City,Oklahoma ,OKLAHOMA,40,109,OK 
73143,Oklahoma City,Oklahoma ,OKLAHOMA,40,109,OK 
73140,Oklahoma City,Oklahoma ,OKLAHOMA,40,109,OK 
73141,Oklahoma City,Oklahoma ,OKLAHOMA,40,109,OK 
73137,Oklahoma City,Oklahoma ,OKLAHOMA,40,109,OK 
73139,Oklahoma City,Oklahoma ,OKLAHOMA,40,109,OK 
73136,Oklahoma City,Oklahoma ,OKLAHOMA,40,109,OK 
73142,Oklahoma City,Oklahoma ,OKLAHOMA,40,109,OK 
73144,Oklahoma City,Oklahoma ,OKLAHOMA,40,109,OK 
73145,Oklahoma City,Oklahoma ,OKLAHOMA,40,109,OK 
73145,Oklahoma City,Oklahoma ,OKLAHOMA,40,109,OK 
73148,Oklahoma City,Oklahoma ,OKLAHOMA,40,109,OK 
73150,Oklahoma City,Oklahoma ,OKLAHOMA,40,109,OK 
73146,Oklahoma City,Oklahoma ,OKLAHOMA,40,109,OK 
73147,Oklahoma City,Oklahoma ,OKLAHOMA,40,109,OK 
