46182,Waldron,Indiana ,SHELBY,18,145,IN 
46183,West Newton,Indiana ,MARION,18,097,IN 
46184,Whiteland,Indiana ,JOHNSON,18,081,IN 
46204,Indianapolis,Indiana ,MARION,18,097,IN 
46203,Indianapolis,Indiana ,MARION,18,097,IN 
46201,Indianapolis,Indiana ,MARION,18,097,IN 
46206,Indianapolis,Indiana ,MARION,18,097,IN 
46208,Indianapolis,Indiana ,MARION,18,097,IN 
46202,Indianapolis,Indiana ,MARION,18,097,IN 
46207,Indianapolis,Indiana ,MARION,18,097,IN 
46205,Indianapolis,Indiana ,MARION,18,097,IN 
46214,Indianapolis,Indiana ,MARION,18,097,IN 
46213,Indianapolis,Indiana ,MARION,18,097,IN 
46209,Indianapolis,Indiana ,MARION,18,097,IN 
46216,Indianapolis,Indiana ,MARION,18,097,IN 
46219,Indianapolis,Indiana ,MARION,18,097,IN 
46220,Indianapolis,Indiana ,MARION,18,097,IN 
46218,Indianapolis,Indiana ,MARION,18,097,IN 
46217,Indianapolis,Indiana ,MARION,18,097,IN 
46224,Indianapolis,Indiana ,MARION,18,097,IN 
46221,Indianapolis,Indiana ,MARION,18,097,IN 
46226,Indianapolis,Indiana ,MARION,18,097,IN 
46227,Indianapolis,Indiana ,MARION,18,097,IN 
46225,Indianapolis,Indiana ,MARION,18,097,IN 
46224,Indianapolis,Indiana ,MARION,18,097,IN 
46222,Indianapolis,Indiana ,MARION,18,097,IN 
46228,Indianapolis,Indiana ,MARION,18,097,IN 
46229,Indianapolis,Indiana ,MARION,18,097,IN 
46237,Indianapolis,Indiana ,MARION,18,097,IN 
46231,Indianapolis,Indiana ,MARION,18,097,IN 
46239,Indianapolis,Indiana ,MARION,18,097,IN 
46230,Indianapolis,Indiana ,MARION,18,097,IN 
46234,Indianapolis,Indiana ,MARION,18,097,IN 
46235,Indianapolis,Indiana ,MARION,18,097,IN 
46236,Indianapolis,Indiana ,MARION,18,097,IN 
46240,Indianapolis,Indiana ,MARION,18,097,IN 
46242,Indianapolis,Indiana ,MARION,18,097,IN 
46247,Indianapolis,Indiana ,MARION,18,097,IN 
46241,Indianapolis,Indiana ,MARION,18,097,IN 
46251,Indianapolis,Indiana ,MARION,18,097,IN 
46244,Indianapolis,Indiana ,MARION,18,097,IN 
46249,Indianapolis,Indiana ,MARION,18,097,IN 
46250,Indianapolis,Indiana ,MARION,18,097,IN 
46253,Indianapolis,Indiana ,MARION,18,097,IN 
46268,Indianapolis,Indiana ,MARION,18,097,IN 
46256,Indianapolis,Indiana ,MARION,18,097,IN 
46255,Indianapolis,Indiana ,MARION,18,097,IN 
46260,Indianapolis,Indiana ,MARION,18,097,IN 
46262,Indianapolis,Indiana ,MARION,18,097,IN 
46259,Indianapolis,Indiana ,MARION,18,097,IN 
46254,Indianapolis,Indiana ,MARION,18,097,IN 
46277,Indianapolis,Indiana ,MARION,18,097,IN 
46278,Indianapolis,Indiana ,MARION,18,097,IN 
46280,Indianapolis,Indiana ,HAMILTON,18,057,IN 
46290,Indianapolis,Indiana ,HAMILTON,18,057,IN 
46298,Indianapolis,Indiana ,MARION,18,097,IN 
46285,Indianapolis,Indiana ,MARION,18,097,IN 
46283,Indianapolis,Indiana ,MARION,18,097,IN 
46282,Indianapolis,Indiana ,MARION,18,097,IN 
46288,Indianapolis,Indiana ,MARION,18,097,IN 
46301,Beverly Shores,Indiana ,PORTER,18,127,IN 
46302,Boone Grove,Indiana ,PORTER,18,127,IN 
46308,Crown Point,Indiana ,LAKE,18,089,IN 
46311,Dyer,Indiana ,LAKE,18,089,IN 
46310,Demotte,Indiana ,JASPER,18,073,IN 
46304,Chesterton,Indiana ,PORTER,18,127,IN 
46307,Crown Point,Indiana ,LAKE,18,089,IN 
46303,Cedar Lake,Indiana ,LAKE,18,089,IN 
46312,East Chicago,Indiana ,LAKE,18,089,IN 
46319,Griffith,Indiana ,LAKE,18,089,IN 
46320,Hammond,Indiana ,LAKE,18,089,IN 
46323,Hammond,Indiana ,LAKE,18,089,IN 
46321,Munster,Indiana ,LAKE,18,089,IN 
46324,Hammond,Indiana ,LAKE,18,089,IN 
46325,Hammond,Indiana ,LAKE,18,089,IN 
46322,Highland,Indiana ,LAKE,18,089,IN 
46327,Hammond,Indiana ,LAKE,18,089,IN 
46340,Hanna,Indiana ,LA PORTE,18,091,IN 
46341,Hebron,Indiana ,PORTER,18,127,IN 
46345,Kingsbury,Indiana ,LA PORTE,18,091,IN 
