83425,Hamer,Idaho ,JEFFERSON,16,051,ID 
83429,Island Park,Idaho ,FREMONT,16,043,ID 
83433,Macks Inn,Idaho ,FREMONT,16,043,ID 
83431,Lewisville,Idaho ,JEFFERSON,16,051,ID 
83428,Irwin,Idaho ,BONNEVILLE,16,019,ID 
83434,Menan,Idaho ,JEFFERSON,16,051,ID 
83442,Rigby,Idaho ,JEFFERSON,16,051,ID 
83441,Rexburg,Idaho ,MADISON,16,065,ID 
83435,Monteview,Idaho ,JEFFERSON,16,051,ID 
83443,Ririe,Idaho ,JEFFERSON,16,051,ID 
83440,Rexburg,Idaho ,MADISON,16,065,ID 
83438,Parker,Idaho ,FREMONT,16,043,ID 
83436,Newdale,Idaho ,FREMONT,16,043,ID 
83444,Roberts,Idaho ,JEFFERSON,16,051,ID 
83450,Terreton,Idaho ,JEFFERSON,16,051,ID 
83449,Swan Valley,Idaho ,BONNEVILLE,16,019,ID 
83445,Saint Anthony,Idaho ,FREMONT,16,043,ID 
83446,Spencer,Idaho ,CLARK,16,033,ID 
83451,Teton,Idaho ,FREMONT,16,043,ID 
83452,Tetonia,Idaho ,TETON,16,081,ID 
83448,Sugar City,Idaho ,MADISON,16,065,ID 
83454,Ucon,Idaho ,BONNEVILLE,16,019,ID 
83455,Victor,Idaho ,TETON,16,081,ID 
83462,Carmen,Idaho ,LEMHI,16,059,ID 
83460,Rexburg,Idaho ,MADISON,16,065,ID 
83465,Lemhi,Idaho ,LEMHI,16,059,ID 
83464,Leadore,Idaho ,LEMHI,16,059,ID 
83463,Gibbonsville,Idaho ,LEMHI,16,059,ID 
83467,Salmon,Idaho ,LEMHI,16,059,ID 
83466,North Fork,Idaho ,LEMHI,16,059,ID 
83468,Tendoy,Idaho ,LEMHI,16,059,ID 
83501,Lewiston,Idaho ,NEZ PERCE,16,069,ID 
83469,Shoup,Idaho ,LEMHI,16,059,ID 
83525,Elk City,Idaho ,IDAHO,16,049,ID 
83524,Culdesac,Idaho ,NEZ PERCE,16,069,ID 
83523,Craigmont,Idaho ,LEWIS,16,061,ID 
83522,Cottonwood,Idaho ,IDAHO,16,049,ID 
83520,Ahsahka,Idaho ,CLEARWATER,16,035,ID 
83526,Ferdinand,Idaho ,IDAHO,16,049,ID 
83530,Grangeville,Idaho ,IDAHO,16,049,ID 
83535,Juliaetta,Idaho ,LATAH,16,057,ID 
83533,Greencreek,Idaho ,IDAHO,16,049,ID 
83536,Kamiah,Idaho ,LEWIS,16,061,ID 
83539,Kooskia,Idaho ,IDAHO,16,049,ID 
83531,Fenn,Idaho ,IDAHO,16,049,ID 
83537,Kendrick,Idaho ,LATAH,16,057,ID 
83540,Lapwai,Idaho ,NEZ PERCE,16,069,ID 
83542,Lucile,Idaho ,IDAHO,16,049,ID 
83541,Lenore,Idaho ,CLEARWATER,16,035,ID 
83544,Orofino,Idaho ,CLEARWATER,16,035,ID 
83543,Nezperce,Idaho ,LEWIS,16,061,ID 
83546,Pierce,Idaho ,CLEARWATER,16,035,ID 
83545,Peck,Idaho ,NEZ PERCE,16,069,ID 
83548,Reubens,Idaho ,LEWIS,16,061,ID 
83547,Pollock,Idaho ,IDAHO,16,049,ID 
83549,Riggins,Idaho ,IDAHO,16,049,ID 
83552,Stites,Idaho ,IDAHO,16,049,ID 
83554,White Bird,Idaho ,IDAHO,16,049,ID 
83553,Weippe,Idaho ,CLEARWATER,16,035,ID 
83605,Caldwell,Idaho ,CANYON,16,027,ID 
83602,Banks,Idaho ,BOISE,16,015,ID 
83555,Winchester,Idaho ,LEWIS,16,061,ID 
83604,Bruneau,Idaho ,OWYHEE,16,073,ID 
83606,Caldwell,Idaho ,CANYON,16,027,ID 
83607,Caldwell,Idaho ,CANYON,16,027,ID 
83610,Cambridge,Idaho ,WASHINGTON,16,087,ID 
83611,Cascade,Idaho ,VALLEY,16,085,ID 
83612,Council,Idaho ,ADAMS,16,003,ID 
83619,Fruitland,Idaho ,PAYETTE,16,075,ID 
83617,Emmett,Idaho ,GEM,16,045,ID 
83615,Donnelly,Idaho ,VALLEY,16,085,ID 
83622,Garden Valley,Idaho ,BOISE,16,015,ID 
83623,Glenns Ferry,Idaho ,ELMORE,16,039,ID 
83616,Eagle,Idaho ,ADA,16,001,ID 
83624,Grand View,Idaho ,OWYHEE,16,073,ID 
83626,Greenleaf,Idaho ,CANYON,16,027,ID 
83629,Horseshoe Bend,Idaho ,BOISE,16,015,ID 
