63131,Saint Louis,Missouri ,SAINT LOUIS,29,189,MO 
63132,Saint Louis,Missouri ,SAINT LOUIS,29,189,MO 
63135,Saint Louis,Missouri ,SAINT LOUIS,29,189,MO 
63137,Saint Louis,Missouri ,SAINT LOUIS,29,189,MO 
63136,Saint Louis,Missouri ,SAINT LOUIS,29,189,MO 
63140,Saint Louis,Missouri ,SAINT LOUIS,29,189,MO 
63139,Saint Louis,Missouri ,SAINT LOUIS CITY,29,510,MO 
63141,Saint Louis,Missouri ,SAINT LOUIS,29,189,MO 
63138,Saint Louis,Missouri ,SAINT LOUIS,29,189,MO 
63143,Saint Louis,Missouri ,SAINT LOUIS,29,189,MO 
63144,Saint Louis,Missouri ,SAINT LOUIS,29,189,MO 
63145,Saint Louis,Missouri ,SAINT LOUIS,29,189,MO 
63147,Saint Louis,Missouri ,SAINT LOUIS CITY,29,510,MO 
63150,Saint Louis,Missouri ,SAINT LOUIS CITY,29,510,MO 
63146,Saint Louis,Missouri ,SAINT LOUIS,29,189,MO 
63151,Saint Louis,Missouri ,SAINT LOUIS,29,189,MO 
63155,Saint Louis,Missouri ,SAINT LOUIS CITY,29,510,MO 
63156,Saint Louis,Missouri ,SAINT LOUIS CITY,29,510,MO 
63158,Saint Louis,Missouri ,SAINT LOUIS CITY,29,510,MO 
63157,Saint Louis,Missouri ,SAINT LOUIS CITY,29,510,MO 
63160,Saint Louis,Missouri ,SAINT LOUIS CITY,29,510,MO 
63166,Saint Louis,Missouri ,SAINT LOUIS CITY,29,510,MO 
63169,Saint Louis,Missouri ,SAINT LOUIS CITY,29,510,MO 
63167,Saint Louis,Missouri ,SAINT LOUIS,29,189,MO 
63163,Saint Louis,Missouri ,SAINT LOUIS CITY,29,510,MO 
63171,Saint Louis,Missouri ,SAINT LOUIS CITY,29,510,MO 
63164,Saint Louis,Missouri ,SAINT LOUIS CITY,29,510,MO 
63177,Saint Louis,Missouri ,SAINT LOUIS CITY,29,510,MO 
63178,Saint Louis,Missouri ,SAINT LOUIS CITY,29,510,MO 
63180,Saint Louis,Missouri ,SAINT LOUIS CITY,29,510,MO 
63188,Saint Louis,Missouri ,SAINT LOUIS CITY,29,510,MO 
63197,Saint Louis,Missouri ,SAINT LOUIS CITY,29,510,MO 
63301,Saint Charles,Missouri ,SAINT CHARLES,29,183,MO 
63199,Saint Louis,Missouri ,SAINT LOUIS CITY,29,510,MO 
63195,Saint Louis,Missouri ,SAINT LOUIS CITY,29,510,MO 
63179,Saint Louis,Missouri ,SAINT LOUIS CITY,29,510,MO 
63302,Saint Charles,Missouri ,SAINT CHARLES,29,183,MO 
63303,Saint Charles,Missouri ,SAINT CHARLES,29,183,MO 
63333,Bellflower,Missouri ,MONTGOMERY,29,139,MO 
63332,Augusta,Missouri ,SAINT CHARLES,29,183,MO 
63336,Clarksville,Missouri ,PIKE,29,163,MO 
63338,Cottleville,Missouri ,SAINT CHARLES,29,183,MO 
63330,Annada,Missouri ,PIKE,29,163,MO 
63304,Saint Charles,Missouri ,SAINT CHARLES,29,183,MO 
63334,Bowling Green,Missouri ,PIKE,29,163,MO 
63339,Curryville,Missouri ,PIKE,29,163,MO 
63341,Defiance,Missouri ,SAINT CHARLES,29,183,MO 
63343,Elsberry,Missouri ,LINCOLN,29,113,MO 
63347,Foley,Missouri ,LINCOLN,29,113,MO 
63344,Eolia,Missouri ,PIKE,29,163,MO 
63342,Dutzow,Missouri ,WARREN,29,219,MO 
63346,Flinthill,Missouri ,SAINT CHARLES,29,183,MO 
63345,Farber,Missouri ,AUDRAIN,29,007,MO 
63348,Foristell,Missouri ,SAINT CHARLES,29,183,MO 
63349,Hawk Point,Missouri ,LINCOLN,29,113,MO 
63350,High Hill,Missouri ,MONTGOMERY,29,139,MO 
63351,Jonesburg,Missouri ,MONTGOMERY,29,139,MO 
63357,Marthasville,Missouri ,WARREN,29,219,MO 
63353,Louisiana,Missouri ,PIKE,29,163,MO 
63352,Laddonia,Missouri ,AUDRAIN,29,007,MO 
63359,Middletown,Missouri ,MONTGOMERY,29,139,MO 
63361,Montgomery City,Missouri ,MONTGOMERY,29,139,MO 
63362,Moscow Mills,Missouri ,LINCOLN,29,113,MO 
63363,New Florence,Missouri ,MONTGOMERY,29,139,MO 
63365,New Melle,Missouri ,SAINT CHARLES,29,183,MO 
63369,Old Monroe,Missouri ,LINCOLN,29,113,MO 
63367,Lake Saint Louis,Missouri ,SAINT CHARLES,29,183,MO 
63366,O Fallon,Missouri ,SAINT CHARLES,29,183,MO 
63368,O Fallon,Missouri ,SAINT CHARLES,29,183,MO 
63370,Olney,Missouri ,LINCOLN,29,113,MO 
63377,Silex,Missouri ,LINCOLN,29,113,MO 
63373,Portage Des Sioux,Missouri ,SAINT CHARLES,29,183,MO 
63381,Truxton,Missouri ,WARREN,29,219,MO 
63376,Saint Peters,Missouri ,SAINT CHARLES,29,183,MO 
63378,Treloar,Missouri ,WARREN,29,219,MO 
63379,Troy,Missouri ,LINCOLN,29,113,MO 
63380,Truesdale,Missouri ,WARREN,29,219,MO 
63382,Vandalia,Missouri ,AUDRAIN,29,007,MO 
63383,Warrenton,Missouri ,WARREN,29,219,MO 
63389,Winfield,Missouri ,LINCOLN,29,113,MO 
63385,Wentzville,Missouri ,SAINT CHARLES,29,183,MO 
63384,Wellsville,Missouri ,MONTGOMERY,29,139,MO 
63387,Whiteside,Missouri ,LINCOLN,29,113,MO 
63386,West Alton,Missouri ,SAINT CHARLES,29,183,MO 
63388,Williamsburg,Missouri ,CALLAWAY,29,027,MO 
63390,Wright City,Missouri ,WARREN,29,219,MO 
63401,Hannibal,Missouri ,MARION,29,127,MO 
63430,Alexandria,Missouri ,CLARK,29,045,MO 
63433,Ashburn,Missouri ,PIKE,29,163,MO 
63434,Bethel,Missouri ,SHELBY,29,205,MO 
63435,Canton,Missouri ,LEWIS,29,111,MO 
63432,Arbela,Missouri ,SCOTLAND,29,199,MO 
63436,Center,Missouri ,RALLS,29,173,MO 
63437,Clarence,Missouri ,SHELBY,29,205,MO 
63438,Durham,Missouri ,LEWIS,29,111,MO 
63440,Ewing,Missouri ,LEWIS,29,111,MO 
63443,Hunnewell,Missouri ,SHELBY,29,205,MO 
63441,Frankford,Missouri ,PIKE,29,163,MO 
63439,Emden,Missouri ,SHELBY,29,205,MO 
63442,Granger,Missouri ,SCOTLAND,29,199,MO 
63445,Kahoka,Missouri ,CLARK,29,045,MO 
63431,Anabel,Missouri ,MACON,29,121,MO 
63448,La Grange,Missouri ,LEWIS,29,111,MO 
63447,La Belle,Missouri ,LEWIS,29,111,MO 
63451,Leonard,Missouri ,SHELBY,29,205,MO 
63453,Luray,Missouri ,CLARK,29,045,MO 
63450,Lentner,Missouri ,SHELBY,29,205,MO 
63452,Lewistown,Missouri ,LEWIS,29,111,MO 
63446,Knox City,Missouri ,KNOX,29,103,MO 
63454,Maywood,Missouri ,MARION,29,127,MO 
63460,Novelty,Missouri ,KNOX,29,103,MO 
63457,Monticello,Missouri ,LEWIS,29,111,MO 
63459,New London,Missouri ,RALLS,29,173,MO 
63461,Palmyra,Missouri ,MARION,29,127,MO 
63456,Monroe City,Missouri ,MONROE,29,137,MO 
63458,Newark,Missouri ,KNOX,29,103,MO 
63463,Philadelphia,Missouri ,MARION,29,127,MO 
63462,Perry,Missouri ,RALLS,29,173,MO 
63467,Saverton,Missouri ,RALLS,29,173,MO 
63469,Shelbyville,Missouri ,SHELBY,29,205,MO 
63471,Taylor,Missouri ,MARION,29,127,MO 
63468,Shelbina,Missouri ,SHELBY,29,205,MO 
63466,Saint Patrick,Missouri ,CLARK,29,045,MO 
63472,Wayland,Missouri ,CLARK,29,045,MO 
63473,Williamstown,Missouri ,LEWIS,29,111,MO 
63465,Revere,Missouri ,CLARK,29,045,MO 
63501,Kirksville,Missouri ,ADAIR,29,001,MO 
63474,Wyaconda,Missouri ,CLARK,29,045,MO 
63530,Atlanta,Missouri ,MACON,29,121,MO 
63531,Baring,Missouri ,KNOX,29,103,MO 
63532,Bevier,Missouri ,MACON,29,121,MO 
63534,Callao,Missouri ,MACON,29,121,MO 
63533,Brashear,Missouri ,ADAIR,29,001,MO 
63535,Coatsville,Missouri ,SCHUYLER,29,197,MO 
63537,Edina,Missouri ,KNOX,29,103,MO 
63536,Downing,Missouri ,SCHUYLER,29,197,MO 
63541,Glenwood,Missouri ,SCHUYLER,29,197,MO 
63543,Gorin,Missouri ,SCOTLAND,29,199,MO 
63540,Gibbs,Missouri ,ADAIR,29,001,MO 
63538,Elmer,Missouri ,MACON,29,121,MO 
63539,Ethel,Missouri ,MACON,29,121,MO 
63544,Green Castle,Missouri ,SULLIVAN,29,211,MO 
63546,Greentop,Missouri ,ADAIR,29,001,MO 
63545,Green City,Missouri ,SULLIVAN,29,211,MO 
63548,Lancaster,Missouri ,SCHUYLER,29,197,MO 
63552,Macon,Missouri ,MACON,29,121,MO 
63547,Hurdland,Missouri ,KNOX,29,103,MO 
63549,La Plata,Missouri ,MACON,29,121,MO 
63551,Livonia,Missouri ,PUTNAM,29,171,MO 
63555,Memphis,Missouri ,SCOTLAND,29,199,MO 
63556,Milan,Missouri ,SULLIVAN,29,211,MO 
63560,Pollock,Missouri ,SULLIVAN,29,211,MO 
63557,New Boston,Missouri ,LINN,29,115,MO 
63561,Queen City,Missouri ,SCHUYLER,29,197,MO 
63559,Novinger,Missouri ,ADAIR,29,001,MO 
63565,Unionville,Missouri ,PUTNAM,29,171,MO 
63558,New Cambria,Missouri ,MACON,29,121,MO 
63563,Rutledge,Missouri ,SCOTLAND,29,199,MO 
63566,Winigan,Missouri ,SULLIVAN,29,211,MO 
63601,Park Hills,Missouri ,SAINT FRANCOIS,29,187,MO 
63624,Bismarck,Missouri ,SAINT FRANCOIS,29,187,MO 
63622,Belgrade,Missouri ,WASHINGTON,29,221,MO 
63620,Annapolis,Missouri ,IRON,29,093,MO 
63623,Belleview,Missouri ,IRON,29,093,MO 
63621,Arcadia,Missouri ,IRON,29,093,MO 
